Assessment Name,Test Type,Duration,Remote Support,IRT Support,URL
Cognitive Ability Test #1,Ability,30 mins,Yes,Yes,https://www.shl.com/cognitive-test
Personality Questionnaire #2,Personality,25 mins,Yes,No,https://www.shl.com/personality-questionnaire
Numerical Reasoning Test #3,Ability,20 mins,Yes,Yes,https://www.shl.com/numerical-reasoning
Verbal Reasoning Test #4,Ability,20 mins,Yes,Yes,https://www.shl.com/verbal-reasoning
OPQ Leadership Assessment #5,Leadership,35 mins,Yes,No,https://www.shl.com/opq-leadership
Technical Aptitude Test #6,Technical,40 mins,Yes,Yes,https://www.shl.com/technical-aptitude
Sales Potential Assessment #7,Role-Specific,30 mins,Yes,Yes,https://www.shl.com/sales-potential
Graduate Talent Screener #8,Screening,15 mins,Yes,Yes,https://www.shl.com/graduate-screener
Situational Judgment Test #9,Behavioral,20 mins,Yes,No,https://www.shl.com/situational-judgment
Project Manager Assessment #10,Role-Specific,25 mins,Yes,Yes,https://www.shl.com/project-manager-assessment
Cognitive Ability Test #11,Ability,30 mins,Yes,Yes,https://www.shl.com/cognitive-test
Personality Questionnaire #12,Personality,25 mins,Yes,No,https://www.shl.com/personality-questionnaire
Numerical Reasoning Test #13,Ability,20 mins,Yes,Yes,https://www.shl.com/numerical-reasoning
Verbal Reasoning Test #14,Ability,20 mins,Yes,Yes,https://www.shl.com/verbal-reasoning
OPQ Leadership Assessment #15,Leadership,35 mins,Yes,No,https://www.shl.com/opq-leadership
Technical Aptitude Test #16,Technical,40 mins,Yes,Yes,https://www.shl.com/technical-aptitude
Sales Potential Assessment #17,Role-Specific,30 mins,Yes,Yes,https://www.shl.com/sales-potential
Graduate Talent Screener #18,Screening,15 mins,Yes,Yes,https://www.shl.com/graduate-screener
Situational Judgment Test #19,Behavioral,20 mins,Yes,No,https://www.shl.com/situational-judgment
Project Manager Assessment #20,Role-Specific,25 mins,Yes,Yes,https://www.shl.com/project-manager-assessment
Cognitive Ability Test #21,Ability,30 mins,Yes,Yes,https://www.shl.com/cognitive-test
Personality Questionnaire #22,Personality,25 mins,Yes,No,https://www.shl.com/personality-questionnaire
Numerical Reasoning Test #23,Ability,20 mins,Yes,Yes,https://www.shl.com/numerical-reasoning
Verbal Reasoning Test #24,Ability,20 mins,Yes,Yes,https://www.shl.com/verbal-reasoning
OPQ Leadership Assessment #25,Leadership,35 mins,Yes,No,https://www.shl.com/opq-leadership
Technical Aptitude Test #26,Technical,40 mins,Yes,Yes,https://www.shl.com/technical-aptitude
Sales Potential Assessment #27,Role-Specific,30 mins,Yes,Yes,https://www.shl.com/sales-potential
Graduate Talent Screener #28,Screening,15 mins,Yes,Yes,https://www.shl.com/graduate-screener
Situational Judgment Test #29,Behavioral,20 mins,Yes,No,https://www.shl.com/situational-judgment
Project Manager Assessment #30,Role-Specific,25 mins,Yes,Yes,https://www.shl.com/project-manager-assessment
Cognitive Ability Test #31,Ability,30 mins,Yes,Yes,https://www.shl.com/cognitive-test
Personality Questionnaire #32,Personality,25 mins,Yes,No,https://www.shl.com/personality-questionnaire
Numerical Reasoning Test #33,Ability,20 mins,Yes,Yes,https://www.shl.com/numerical-reasoning
Verbal Reasoning Test #34,Ability,20 mins,Yes,Yes,https://www.shl.com/verbal-reasoning
OPQ Leadership Assessment #35,Leadership,35 mins,Yes,No,https://www.shl.com/opq-leadership
Technical Aptitude Test #36,Technical,40 mins,Yes,Yes,https://www.shl.com/technical-aptitude
Sales Potential Assessment #37,Role-Specific,30 mins,Yes,Yes,https://www.shl.com/sales-potential
Graduate Talent Screener #38,Screening,15 mins,Yes,Yes,https://www.shl.com/graduate-screener
Situational Judgment Test #39,Behavioral,20 mins,Yes,No,https://www.shl.com/situational-judgment
Project Manager Assessment #40,Role-Specific,25 mins,Yes,Yes,https://www.shl.com/project-manager-assessment
Cognitive Ability Test #41,Ability,30 mins,Yes,Yes,https://www.shl.com/cognitive-test
Personality Questionnaire #42,Personality,25 mins,Yes,No,https://www.shl.com/personality-questionnaire
Numerical Reasoning Test #43,Ability,20 mins,Yes,Yes,https://www.shl.com/numerical-reasoning
Verbal Reasoning Test #44,Ability,20 mins,Yes,Yes,https://www.shl.com/verbal-reasoning
OPQ Leadership Assessment #45,Leadership,35 mins,Yes,No,https://www.shl.com/opq-leadership
Technical Aptitude Test #46,Technical,40 mins,Yes,Yes,https://www.shl.com/technical-aptitude
Sales Potential Assessment #47,Role-Specific,30 mins,Yes,Yes,https://www.shl.com/sales-potential
Graduate Talent Screener #48,Screening,15 mins,Yes,Yes,https://www.shl.com/graduate-screener
Situational Judgment Test #49,Behavioral,20 mins,Yes,No,https://www.shl.com/situational-judgment
Project Manager Assessment #50,Role-Specific,25 mins,Yes,Yes,https://www.shl.com/project-manager-assessment
